table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
loopnone-477_la_stereo__r-ltap,fr,la,stereo,multi,none,477,ltap,,select,1743,4808,0,start-a,start,1643,
loopnone-477_single_help_mono__r-ltap-soft,fr,help,mono,single,none,477,ltap-soft,,select,1950,5015,480,start-a,start,2595,
loopnone-477_single_help_mono__r-start0-ltap-soft,fr,help,mono,single,none,477,start0-ltap-soft,,select,1950,5015,480,start-a,start,1296,
loopnone-477_single_help_mono__r-start0-soft,fr,help,mono,single,none,477,start0-soft,,select,1950,5015,480,start-a,start,2474,
loopnone-477_single_help_stereo__r-ltap-soft,fr,help,stereo,single,none,477,ltap-soft,,select,1950,5015,480,start-a,start,2595,
loopnone-477_single_help_stereo__r-start0-ltap-soft,fr,help,stereo,single,none,477,start0-ltap-soft,,select,1950,5015,480,start-a,start,2297,
loopnone-477_single_help_stereo__r-start0-soft,fr,help,stereo,single,none,477,start0-soft,,select,1950,5015,480,start-a,start,2474,
loopnone-477_single_la_mono__r-ltap-soft,fr,la,mono,single,none,477,ltap-soft,,select,1950,5015,480,start-a,start,2595,
loopnone-477_single_la_mono__r-start0-ltap-soft,fr,la,mono,single,none,477,start0-ltap-soft,,select,1950,5015,480,start-a,start,1366,
loopnone-477_single_la_mono__r-start0-soft,fr,la,mono,single,none,477,start0-soft,,select,1950,5015,480,start-a,start,2474,
loopnone-477_single_la_stereo__r-ltap-soft,fr,la,stereo,single,none,477,ltap-soft,,select,1950,5015,480,start-a,start,2595,
loopnone-477_single_la_stereo__r-start0-ltap-soft,fr,la,stereo,single,none,477,start0-ltap-soft,,select,1950,5015,480,start-a,start,1320,
loopnone-477_single_la_stereo__r-start0-soft,fr,la,stereo,single,none,477,start0-soft,,select,1950,5015,480,start-a,start,2474,
loopnone-990_help_mono__r-ltap,fr,help,mono,multi,none,990,ltap,,select,1743,5320,0,start-a,start,1620,
loopnone-990_help_mono__r-ltap-soft,fr,help,mono,multi,none,990,ltap-soft,,select,1953,5530,482,start-a,start,2595,
